position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Yoweri Museveni,Q57274,1986-01-29,,male,1944-09-15,,Yoweri Museveni September 2015.jpg,Yoweri Museveni
Vice President,Specioza Kazibwe,Q544606,1994-11,2003-05-21,female,1955-07-01,,Specioza Wandira Kazibwe (cropped).jpg,Specioza Kazibwe
Vice President,Gilbert Bukenya,Q3105642,2003-05-23,2011-05-23,male,1949-05-08,,Dr. Gilbert Balibaseka Bukenya (cropped).jpg,Gilbert Bukenya
Vice President,Edward Ssekandi,Q5345394,2011-05-24,,male,1943-01-19,,Edward Ssekandi.jpg,Edward Ssekandi
Prime Minister,Apolo Nsibambi,Q320005,1999-04-05,2011-05-24,male,1940-10-25,2019-05-28,Apolo Nsibambi.jpg,Apolo Nsibambi
Prime Minister,Amama Mbabazi,Q57873,2011-05-24,2014-09-18,male,1949-01-16,,Amama Mbabazi.jpg,Amama Mbabazi
Prime Minister,Ruhakana Rugunda,Q1740843,2014-09-18,2021-06-21,male,1947-11-07,,Ruhakana Rugunda.jpg,Ruhakana Rugunda
Prime Minister,Robinah Nabbanja,Q62481397,2021-06-21,,female,1969-12-17,,Robinah Nabbanja.jpg,Robinah Nabbanja
Deputy Prime Minister,Moses Ali,Q1949128,2021-06-09,,male,1939-04-05,,,Moses Ali
Deputy Prime Minister,Lukia Isanga Nakadama,Q6702541,2021-06-09,,female,1970-02-02,,,Lukia Isanga Nakadama
Deputy Prime Minister,Rebecca Kadaga,Q1026465,2021-06-21,,female,1956-05-24,,"Rebecca Kadaga, December 2017 (5122) (cropped2).jpg",Rebecca Kadaga
"Minister of Agriculture, Animal Industry and Fisheries",Frank Tumwebaze,Q5490025,2021-06-09,,male,1976-01-01,,,Frank Tumwebaze
Minister of Defence and Veterans Affairs,Vincent Ssempijja,Q19666374,2021-06-09,,male,1956-11-28,,,Vincent Ssempijja
Minister of Disaster Preparedness and Refugees,Hilary Onek,Q5761037,2021-06-09,,male,1948-05-05,,,Hilary Onek
Minister for East African Community Affairs,Rebecca Kadaga,Q1026465,2021-06-09,,female,1956-05-24,,"Rebecca Kadaga, December 2017 (5122) (cropped2).jpg",Rebecca Kadaga
Minister of Education and Sports,Janet Museveni,Q6153522,2021-06-09,,female,1948-06-24,,Janet Museveni.jpg,Janet Museveni
Minister of Energy and Minerals,Ruth Nankabirwa,Q7383142,2021-06-09,,female,1965-11-28,,,Ruth Nankabirwa
Minister of Finance,Gerald Ssendaula,Q5549595,1998-05,2005,male,1943-05-15,,,Gerald Ssendaula
Minister of Finance,Ezra Suruma,Q5423415,2005,2009-02,male,1945-01-01,,Ezra Suruma.jpg,Ezra Suruma
Minister of Finance,Syda Bbumba,Q7659743,2009-02,2011-05-27,female,1952-01-07,,,Syda Bbumba
Minister of Finance,Maria Kiwanuka,Q6761316,2011-05-27,2015-03-01,female,1955-05-12,,,Maria Kiwanuka
Minister of Finance,Matia Kasaija,Q6787393,2015-03-01,,male,1944-05-28,,Matia Kasaija profile.jpg,Matia Kasaija
Minister of Foreign Affairs,Eriya Kategaya,Q1354926,1996,2001,male,1945-07-04,2013-03-02,The Right Honorable Eriya Kategaya (cropped).jpg,Eriya Kategaya
Minister of Foreign Affairs,James Wapakhabulo,Q1681274,2001,2004-03-27,male,1945-03-23,2004-03-27,,James Wapakhabulo
Minister of Foreign Affairs,Tom Butime,Q7815151,2004-03-27,2005-01-13,male,1947,,,Tom Butime
Minister of Foreign Affairs,Sam Kutesa,Q58240,2005-01-13,2014-09-16,male,1949-02-01,,Sam Kutesa - 2018 (32521275868) (cropped).jpg,Sam Kutesa
Minister of Foreign Affairs,Henry Oryem Okello,Q3784984,2014-09-16,2015-11-19,male,1960-01-21,,Acting Foreign Minister Okello Oryem (cropped).jpg,Henry Oryem Okello
Minister of Foreign Affairs,Jeje Odongo,Q6176542,2021-06-09,,male,1951-07-09,,,Jeje Odongo
"Minister of Gender, Labour and Social Development",Betty Amongi,Q24572619,2021-06-09,,female,1975-11-15,,,Betty Amongi
Minister of Health,Jane Aceng,Q24572616,2016-06-06,,female,1968-05-11,,Ugandan Health Minister Dr. Jane Aceng (37922701691).jpg,Jane Aceng
Minister of Information and Communications Technology,Chris Baryomunsi,Q16875907,2021-06-09,,male,1969-12-09,,,Chris Baryomunsi
Minister of Internal Affairs,Kahinda Otafiire,Q6346972,2021-06-09,,male,1950-12-29,,Kahinda Otafiire (cropped).jpg,Kahinda Otafiire
Minister of Justice,Joshua S. Mayanja-Nkangi,Q99133959,1998,2001,male,,,,
Minister of Justice,Janat Mukwaya,Q6150822,2001,2003,female,1951-12-12,,,Janat Mukwaya
Minister of Justice,Amama Mbabazi,Q57873,2004,2006,male,1949-01-16,,Amama Mbabazi.jpg,Amama Mbabazi
Minister of Justice,Kiddu Makubuya,Q6404722,2006,2011,male,1949-07-30,,,Kiddu Makubuya
Minister of Justice,Kahinda Otafiire,Q6346972,2011,2021,male,1950-12-29,,Kahinda Otafiire (cropped).jpg,Kahinda Otafiire
Minister of Justice,Wilson Muruuli Mukasa,Q8023150,2022-01-19,2022-07-21,male,1952-07-05,,,Wilson Muruli Mukasa
Minister of Justice,Norbert Mao,Q4280983,2022-07-21,,male,1967,,,Norbert Mao
Minister of Kampala Capital City Authority,Misi Kabanda,Q111293515,2021-06-09,,female,,,,Misi Kabanda
Minister of Karamoja Affairs,John Byabagambi,Q6224194,2016-06-06,2021,male,1958-05-08,,,John Byabagambi
Minister of Karamoja Affairs,Mary Goretti Kitutu,Q24572738,2021-06-09,,female,1962-09-17,,,Mary Goretti Kitutu
"Minister of Lands, Housing and Urban Development",Judith Nabakooba,Q52615829,2021-06-09,,female,1977-10-28,,,Judith Nabakooba
Minister of Local Government,Raphael Magyezi,Q102182713,2021-06-09,,male,1960-07-27,,,Raphael Magyezi
Minister of Public Service,Wilson Muruuli Mukasa,Q8023150,2021-06-09,,male,1952-07-05,,,Wilson Muruli Mukasa
"Minister of Science, Technology and Innovation",Monica Musenero,Q98733574,2021-06-09,,female,1965,,,Monica Musenero
Minister of Security,Amama Mbabazi,Q57873,2009-02-24,2011-05-24,male,1949-01-16,,Amama Mbabazi.jpg,Amama Mbabazi
Minister of Security,Jim Muhwezi,Q16145569,2021-06-09,,male,1950-08-23,,,Jim Muhwezi
"Minister of Tourism, Wildlife and Antiquities",Tom Butime,Q7815151,2021-06-09,,male,1947,,,Tom Butime
"Minister of Trade, Tourism and Industry",Maria Mutagamba,Q6761446,2012-08-15,2016-06-06,female,1952-09-05,2017-06-24,"Hon Dr Maria Emily Lubega Mutagamba, Minister of Tourism, Uganda (26294629095).jpg",Maria Mutagamba
Minister of Trade and Industry,Amelia Kyambadde,Q4742276,2011-05-27,2021,female,1955-06-01,,Ministerial Roundtable LDCs and Business Executive (45487557362).jpg,Amelia Kyambadde
Minister of Trade and Industry,Francis Mwebesa,Q113130475,2021-06-09,,,,,,
Minister of Water and Environment,Sam Cheptoris,Q24565843,2021-06-09,,male,1949-12-12,,,Sam Cheptoris
Minister of Works and Transport,Katumba Wamala,Q6378429,2021-06-09,,male,1956-11-19,,Katumba Wamala.jpg,Katumba Wamala
Minister of the Presidency,Milly Babalanda,Q109974085,2021-06-09,,female,1970,,,Milly Babalanda
Minister without Portfolio,Lukia Isanga Nakadama,Q6702541,2021-06-09,,female,1970-02-02,,,Lukia Isanga Nakadama
Minister in Charge of General Duties in the Office of the Prime Minister,Justine Lumumba Kasule,Q6318370,2021-06-09,,female,1972-11-22,,,Justine Lumumba Kasule
Chief Cabinet Whip,Thomas B Tayebwa,Q100141020,2021-06-09,2022-07-21,male,1980-11-10,,,Thomas Tayebwa
Chief Cabinet Whip,Denis Obua,Q84702556,2022-07-21,,male,1980-02-06,,,Denis Obua (politician)
Attorney General,Bart Magunda Katureebe,Q4865086,1996,2001,male,1950-06-20,,Bart Magunda Katureebe (cropped).jpg,Bart Magunda Katureebe
Attorney General,Francis Ayume,Q1441372,2001,2004,male,1940-08-18,2004-05-16,,Francis Ayume
Attorney General,Amama Mbabazi,Q57873,2004-05-01,2006-03-09,male,1949-01-16,,Amama Mbabazi.jpg,Amama Mbabazi
Attorney General,Kiddu Makubuya,Q6404722,2005,2011,male,1949-07-30,,,Kiddu Makubuya
Attorney General,Peter Nyombi,Q7176147,2011,2015,male,1954-04-23,2018-10-07,,Peter Nyombi
Attorney General,Fred Ruhindi,Q5496187,2015,2016-06-06,male,1955-08-29,,,Fred Ruhindi
Attorney General,William Byaruhanga,Q24572632,2016-06-06,2021,male,,,,William Byaruhanga
Attorney General,Kiryowa Kiwanuka,Q107169463,2021-06-09,,male,1972,,,Kiryowa Kiwanuka
Deputy Attorney General,Jackson Kafuuzi,Q84755125,2021-06-09,,male,1977-04-25,,,Jackson Kafuuzi
Leader of Government Business in Parliament,Robinah Nabbanja,Q62481397,2021-06-09,,female,1969-12-17,,Robinah Nabbanja.jpg,Robinah Nabbanja
Deputy Leader of Government Business in Parliament,Moses Ali,Q1949128,2021-06-09,,male,1939-04-05,,,Moses Ali
Minister of State for Economic Monitoring,Peter Ogwang,Q84558223,2021-06-09,2022-07-21,male,1983-12-15,,,Peter Ogwang
Minister of State for Economic Monitoring,Beatrice Akello Akori,Q105759549,2022-07-21,,female,,,,Beatrice Akello Akori
Minister of State for Youth and Children Affairs,Sarah Mateke Nyirabashitsi,Q105951053,2021-06-09,,female,1974-07-15,,,Sarah Mateke Nyirabashitsi
Minister of State in the Office of the Vice President,Diana Nankunda Mutasingwa,Q111319472,2021-06-09,,female,,,,Diana Nankunda Mutasingwa
State Minister for Agriculture,Fred Bwiino Kyakulaga,Q113130476,2021-06-09,,male,,,,
State Minister for Animal Industry,Bright Rwamirama,Q16186459,2021-06-09,,male,1954-12-16,,,Bright Rwamirama
State Minister for Bunyoro Affairs,Jennifer Namuyangu,Q16200545,2021-06-09,,female,1968-07-27,,,Jenipher Namuyangu
State Minister for Cooperatives,Frederick Ngobi Gume,Q24851611,2021-06-09,,male,,,Frederick Ngobi Gume (cropped).jpg,Frederick Ngobi Gume
State Minister for Defence,Jacob Oboth-Oboth,Q27973946,2021-06-09,,male,1971-04-13,,,Jacob Oboth-Oboth
State Minister for Disaster Preparedness and Refugees,Davinia Esther Anyakun,Q58041073,2021-06-09,,female,1976-04-19,,,Davinia Esther Anyakun
State Minister for East African Community Affairs,Maggie Magode Ikuya,Q111325662,2021-06-09,,male,,,,Maggie Magode Ikuya
State Minister for the Elderly,Gidudu Mafaabi,Q113130511,2021-06-09,,,,,,
State Minister for Energy,Sidronius Opolot Okasai,Q113130518,2021-06-09,,,,,,
State Minister for Ethics and Integrity,Rose Lilly Akello,Q105942528,2021-06-09,,female,1971-12-23,,,Rose Lilly Akello
State Minister of Finance for General Duties,Henry Musaasizi,Q113130512,2021-06-09,,male,,,,
State Minister of Finance for Investment and Privatization,Evelyn Anite,Q19609598,2021-06-09,,female,1984-11-11,,Evelyn Anite.jpg,Evelyn Anite
